City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bonthe,7.5264,-12.505,26.12,81,78,2.59,SL,1700953168
1,nemuro,43.3236,145.575,-0.76,66,23,7.86,JP,1700953168
2,pont rouge,48.8833,-72.0825,-3.84,81,98,5.61,CA,1700953169
3,cangucu,-31.395,-52.6756,17.56,88,85,2.76,BR,1700953169
4,sagua la grande,22.8067,-80.0756,24.12,84,20,4.07,CU,1700953169
5,waitangi,-43.9535,-176.5597,16.57,98,100,2.24,NZ,1700953169
6,adamstown,-25.066,-130.1015,21.74,82,100,11.48,PN,1700953170
7,puerto baquerizo moreno,-0.9,-89.6,26.55,89,75,4.12,EC,1700953170
8,punta arenas,-53.15,-70.9167,12.06,50,0,17.49,CL,1700953124
9,grytviken,-54.2811,-36.5092,0.0,79,22,4.02,GS,1700953170
10,longyearbyen,78.2186,15.6401,-6.09,79,75,4.63,SJ,1700953171
11,rongelap,11.1635,166.8941,27.72,81,26,8.37,MH,1700953171
12,tralee,52.2704,-9.7026,9.34,93,100,2.63,IE,1700952985
13,kavaratti,10.5669,72.642,28.37,74,44,2.78,IN,1700953171
14,banjarmasin,-3.3244,114.591,24.08,92,99,0.4,ID,1700953172
15,bethel,41.3712,-73.414,2.17,62,0,0.0,US,1700952875
16,albany,42.6001,-73.9662,1.68,65,98,0.45,US,1700953108
17,cadiz,36.5,-5.75,8.4,67,18,0.68,ES,1700953028
18,hastings,50.8552,0.5729,3.47,76,89,3.18,GB,1700953173
19,nabire,-3.3667,135.4833,26.69,87,96,0.59,ID,1700953118
20,puerto natales,-51.7236,-72.4875,6.76,81,53,7.65,CL,1700953173
21,vilyuysk,63.7553,121.6247,-33.3,99,13,2.2,RU,1700953173
22,hawaiian paradise park,19.5933,-154.9731,26.04,84,100,2.06,US,1700953174
23,blackmans bay,-43.0167,147.3167,14.07,95,100,0.45,AU,1700953174
24,papatowai,-46.5619,169.4708,15.86,62,66,3.81,NZ,1700953174
25,iqaluit,63.7506,-68.5145,-13.15,78,75,6.71,CA,1700952963
26,atafu village,-8.5421,-172.5159,29.37,71,87,4.35,TK,1700953175
27,caleta de carquin,-11.0925,-77.6267,20.15,81,89,4.93,PE,1700953175
28,bilibino,68.0546,166.4372,-11.09,90,100,2.77,RU,1700953175
29,sirte,31.2089,16.5887,19.2,54,9,11.08,LY,1700953176
30,carnarvon,-24.8667,113.6333,21.72,72,20,3.93,AU,1700953176
31,puerto ayora,-0.7393,-90.3518,27.98,90,58,3.58,EC,1700953176
32,touros,-5.1989,-35.4608,26.18,70,0,7.89,BR,1700952707
33,praia da vitoria,38.7333,-27.0667,19.86,100,75,6.75,PT,1700953177
34,port-aux-francais,-49.35,70.2167,3.69,74,25,16.34,TF,1700953169
35,keflavik,64.0049,-22.5624,6.95,93,75,3.09,IS,1700953178
36,kailua-kona,19.6406,-155.9956,29.17,77,40,3.6,US,1700953178
37,alaghsas,17.0187,8.0168,25.07,12,100,3.49,NE,1700953178
38,port hedland,-20.3167,118.5667,29.03,42,23,3.6,AU,1700953178
39,badger,64.8,-147.5333,-10.01,89,0,1.54,US,1700953179
40,paracuru,-3.41,-39.0306,27.28,75,6,5.55,BR,1700953179
41,vila franca do campo,37.7167,-25.4333,19.23,99,98,5.44,PT,1700952699
42,stanley,54.868,-1.6985,0.59,92,20,1.54,GB,1700953179
43,west island,-12.1568,96.8225,25.99,73,100,7.72,CC,1700953180
44,suva,-18.1416,178.4415,27.71,69,75,3.09,FJ,1700953180
45,myskhako,44.6714,37.7433,15.88,79,100,9.55,RU,1700953180
46,hithadhoo,-0.6,73.0833,27.21,77,77,1.71,MV,1700953181
47,saipan,15.1355,145.701,27.39,94,100,9.26,MP,1700953181
48,krasnoural'sk,58.3638,60.0407,-13.32,98,92,0.68,RU,1700953181
49,aasiaat,68.7098,-52.8699,-1.28,88,100,2.21,GL,1700953181
50,nuuk,64.1835,-51.7216,1.6,64,40,18.33,GL,1700953182
51,port mathurin,-19.6833,63.4167,24.51,69,49,6.73,MU,1700952918
52,novyy urgal,51.0736,132.5642,-22.65,93,6,1.58,RU,1700953182
53,anadyr,64.75,177.4833,-0.72,100,75,10.0,RU,1700953182
54,kozhevnikovo,56.2589,83.9714,-7.64,92,95,3.19,RU,1700953183
55,kerikeri,-35.2268,173.9474,20.54,50,1,2.77,NZ,1700953183
56,edinburgh of the seven seas,-37.0676,-12.3116,14.4,84,21,12.98,SH,1700953177
57,sunzha,43.3211,45.0522,11.94,51,98,2.24,RU,1700952902
58,holualoa,19.6228,-155.9522,27.1,80,7,1.34,US,1700953184
59,san ignacio de velasco,-16.3667,-60.95,23.58,88,78,0.62,BO,1700953184
60,georgetown,5.4112,100.3354,26.12,89,20,2.06,MY,1700952979
61,polyarnyy,69.1989,33.4478,-7.55,84,99,2.43,RU,1700953184
62,reuleuet,5.2167,96.2833,25.46,87,100,1.72,ID,1700953184
63,as samawah,31.332,45.2944,17.17,43,97,4.43,IQ,1700953185
64,kingston,17.997,-76.7936,29.53,70,75,7.2,JM,1700952493
65,la dorada,5.4478,-74.6631,25.48,89,42,0.64,CO,1700953185
66,guerrero negro,27.9769,-114.0611,19.81,57,11,4.84,MX,1700953185
67,wailua homesteads,22.0669,-159.378,25.63,80,2,1.79,US,1700953185
68,tolanaro,-25.0319,46.9987,24.04,78,20,8.23,MG,1700953186
69,akureyri,65.6835,-18.0878,-1.04,93,0,0.0,IS,1700953186
70,jamestown,42.097,-79.2353,1.8,58,0,1.54,US,1700952993
71,varzea da palma,-17.5981,-44.7308,25.79,66,67,2.2,BR,1700953186
72,petrovsk,52.3064,45.3917,1.03,99,100,3.83,RU,1700953186
73,ushuaia,-54.8,-68.3,8.81,71,75,9.77,AR,1700953108
74,acapulco de juarez,16.8634,-99.8901,28.13,68,3,1.47,MX,1700952942
75,nagqu,31.5,92.0,-13.4,33,11,1.48,CN,1700953187
76,makoua,0.0069,15.6333,22.23,97,99,1.24,CG,1700953187
77,invercargill,-46.4,168.35,13.9,76,64,1.34,NZ,1700953187
78,margaret river,-33.95,115.0667,18.98,56,90,7.21,AU,1700953162
79,thompson,55.7435,-97.8558,-3.91,86,100,5.66,CA,1700953123
80,okhotsk,59.3833,143.3,-22.84,83,73,10.2,RU,1700952690
81,porto real,-22.4197,-44.2903,17.89,90,97,1.45,BR,1700953188
82,ribeira grande,38.5167,-28.7,20.43,97,100,5.36,PT,1700953188
83,antsiranana,-12.2787,49.2917,25.05,80,100,7.45,MG,1700953188
84,pedernales,18.0384,-71.744,26.35,74,11,2.67,DO,1700953189
85,coquimbo,-29.9533,-71.3436,14.85,88,75,3.6,CL,1700952759
86,petropavlovsk-kamchatsky,53.0452,158.6483,-6.42,69,20,11.62,RU,1700953189
87,navlya,52.8281,34.4989,-1.62,89,100,1.74,RU,1700953189
88,gunnedah,-30.9833,150.25,21.07,74,99,2.54,AU,1700953189
89,yellowknife,62.456,-114.3525,-14.71,72,20,3.6,CA,1700953190
90,baiyin,36.5583,104.2081,0.52,49,0,2.19,CN,1700953190
91,saint-philippe,-21.3585,55.7679,20.77,81,50,5.37,RE,1700953190
92,avarua,-21.2078,-159.775,26.03,69,40,10.29,CK,1700953190
93,egilsstadir,65.2653,-14.3948,-0.05,93,0,1.03,IS,1700953190
94,marsa alam,25.0757,34.8918,25.76,75,100,4.26,EG,1700953187
95,vila do maio,15.1333,-23.2167,25.44,72,4,7.27,CV,1700953191
96,kenai,60.5544,-151.2583,3.94,96,0,4.78,US,1700953191
97,ilulissat,69.2167,-51.1,3.03,78,100,4.33,GL,1700953191
98,hami,42.8,93.45,-1.7,39,36,0.84,CN,1700953191
99,goure,13.9835,10.2704,26.85,31,70,2.68,NE,1700953192
100,tual,-5.6667,132.75,28.15,75,100,1.79,ID,1700953192
101,foumban,5.7291,10.9001,17.88,94,71,1.63,CM,1700953192
102,narrabri,-30.3167,149.7833,21.89,74,95,4.63,AU,1700953192
103,college,64.8569,-147.8028,-4.75,90,0,0.0,US,1700953182
104,sao vicente,-23.9631,-46.3919,20.71,59,100,2.68,BR,1700953193
105,sydney,-33.8679,151.2073,27.95,63,40,3.6,AU,1700953015
106,szczytno,53.5626,20.9875,-1.04,93,75,3.6,PL,1700953193
107,port elizabeth,-33.918,25.5701,19.62,86,100,1.54,ZA,1700953193
108,bukama,-9.2,25.85,20.44,99,96,0.67,CD,1700953194
109,bayanhongor,46.7167,100.1167,-16.86,85,37,1.82,MN,1700953194
110,mahina,-17.5065,-149.489,30.87,58,20,2.57,PF,1700953194
111,tiksi,71.6872,128.8694,-24.71,96,87,0.95,RU,1700953194
112,bayganin,48.6947,55.8742,1.8,82,94,6.18,KZ,1700953194
113,sao miguel do araguaia,-13.275,-50.1628,29.99,40,52,1.53,BR,1700953195
114,bani walid,31.7566,13.9942,15.45,52,3,7.45,LY,1700953195
115,bredasdorp,-34.5322,20.0403,15.01,88,60,1.44,ZA,1700953195
116,vadso,70.0744,29.7487,0.09,93,100,5.66,NO,1700953195
117,berdigestyakh,62.0989,126.6992,-33.34,99,90,1.96,RU,1700953196
118,revda,56.801,59.9303,-0.71,88,99,4.81,RU,1700953196
119,akhty,41.4597,47.7312,7.63,54,28,5.63,RU,1700953196
120,gokarna,14.55,74.3167,26.91,78,94,3.32,IN,1700953196
121,cabo san lucas,22.8909,-109.9124,28.12,65,98,0.45,MX,1700953197
122,kuanda,56.3161,116.0806,-28.96,97,69,0.36,RU,1700953197
123,labytnangi,66.6572,66.4183,-14.73,95,100,6.57,RU,1700952711
124,olonkinbyen,70.9221,-8.7187,-2.35,72,7,5.2,SJ,1700953197
125,melekeok village,7.4957,134.6367,28.59,78,10,5.54,PW,1700953197
126,crucecita,-28.95,-58.9833,21.86,66,93,3.54,AR,1700953197
127,tsengel,49.4783,100.8894,-8.91,82,100,3.56,MN,1700953198
128,katsuura,35.1333,140.3,13.3,85,100,6.02,JP,1700953198
129,carbondale,37.7273,-89.2168,8.0,61,0,1.54,US,1700953082
130,isla vista,34.4133,-119.861,20.55,43,5,1.34,US,1700953198
131,mombetsu,44.3525,143.3525,-2.08,74,62,8.2,JP,1700953199
132,waddan,29.1614,16.139,14.24,46,0,4.75,LY,1700953199
133,yeraliyev,43.2,51.65,12.87,60,35,11.47,KZ,1700953200
134,kuta,-8.7233,115.1723,26.97,88,20,1.03,ID,1700953200
135,codrington,-38.2667,141.9667,14.12,84,100,5.82,AU,1700953204
136,las heras,-46.5419,-68.9359,19.21,33,100,10.86,AR,1700953220
137,palmwoods,-26.6833,152.9667,25.91,74,57,1.75,AU,1700953222
138,tubmanburg,6.8708,-10.8172,23.58,94,96,0.78,LR,1700953223
139,champoton,19.35,-90.7167,26.44,80,24,4.09,MX,1700953224
140,talnakh,69.4865,88.3972,-22.77,96,45,3.3,RU,1700953225
141,burley,42.5357,-113.7928,-2.06,74,20,0.89,US,1700953226
142,hamilton,39.1834,-84.5333,6.72,64,0,2.57,US,1700953032
143,arraial do cabo,-22.9661,-42.0278,19.54,66,100,1.95,BR,1700953228
144,nova vicosa,-17.8919,-39.3719,23.99,70,94,3.8,BR,1700953231
145,laguna,38.421,-121.4238,17.84,34,0,3.6,US,1700953233
146,kashary,49.04,41.0056,6.57,98,100,4.42,RU,1700953234
147,morococha,-11.5997,-76.1411,2.02,99,100,1.3,PE,1700953235
148,houghton,47.1219,-88.569,0.71,44,40,7.2,US,1700952999
149,afaahiti,-17.75,-149.2833,29.93,76,57,9.69,PF,1700953237
150,venancio aires,-29.6064,-52.1919,16.35,93,1,1.2,BR,1700953237
151,geraldton,-28.7667,114.6,21.23,83,100,3.09,AU,1700953238
152,akot,21.0964,77.0586,21.6,45,0,2.89,IN,1700953238
153,chonchi,-42.6128,-73.8092,15.56,73,37,1.26,CL,1700953238
154,port lincoln,-34.7333,135.8667,17.56,60,100,3.78,AU,1700953239
155,taulaga,-11.0553,-171.0883,28.77,71,96,2.64,AS,1700953240
156,tevriz,57.509,72.4042,-7.9,96,95,1.96,RU,1700953240
157,hotan,37.0997,79.9269,2.92,29,20,1.12,CN,1700953241
158,konkwesso,10.8469,4.0984,26.33,64,88,1.68,NG,1700953242
159,tura,25.5198,90.2201,16.31,81,0,1.81,IN,1700953192
160,kyren,51.6828,102.1408,-8.92,87,100,0.45,RU,1700953242
161,cole harbour,44.6724,-63.4751,-2.29,61,2,4.63,CA,1700953243
162,paphos,34.7667,32.4167,21.88,60,75,9.26,CY,1700952966
163,pokhara,28.2333,83.9833,14.16,65,2,2.4,NP,1700953244
164,sechelt,49.4664,-123.7694,9.97,77,0,1.07,CA,1700953146
165,poso,-1.3959,120.7524,25.94,83,100,1.36,ID,1700953244
166,chiungutwa,-10.8833,38.9833,22.86,88,98,1.73,TZ,1700953245
167,flying fish cove,-10.4217,105.6791,24.82,83,75,3.09,CX,1700953199
168,bel ombre,-4.6167,55.4167,27.91,78,40,5.14,SC,1700953246
169,happy valley-goose bay,53.3168,-60.3315,-9.83,73,40,3.6,CA,1700953246
170,kodiak,57.79,-152.4072,5.73,100,100,3.09,US,1700953224
171,paarl,-33.7338,18.9752,17.23,83,14,2.1,ZA,1700953247
172,ta`u,-14.2336,-169.5144,27.83,81,37,6.45,AS,1700952707
173,horn lake,34.9554,-90.0348,11.17,58,70,2.3,US,1700953247
174,tongren,27.7172,109.1853,11.38,82,100,0.68,CN,1700953183
175,ramapuram,13.1167,79.2,21.54,95,31,1.31,IN,1700953248
176,okahandja,-21.9833,16.9167,21.87,69,100,1.23,NA,1700953248
177,colares,38.7992,-9.4469,14.38,85,43,6.26,PT,1700953249
178,hermanus,-34.4187,19.2345,16.08,76,53,2.68,ZA,1700953249
179,isafjordur,66.0755,-23.124,5.89,88,100,3.72,IS,1700953249
180,portland,45.5234,-122.6762,12.19,50,75,2.68,US,1700952862
181,buka,40.8108,69.1986,10.56,46,100,1.18,UZ,1700953250
182,conduaga,8.862,117.4893,28.24,75,100,3.51,PH,1700953250
183,mount gambier,-37.8333,140.7667,13.85,81,99,4.55,AU,1700952707
184,hailey,43.5196,-114.3153,-2.28,82,100,3.6,US,1700953250
185,agupit,13.4225,123.3247,24.98,93,31,0.86,PH,1700953250
186,papireddippatti,11.9177,78.3687,20.9,97,88,1.9,IN,1700953251
187,cangzhou,38.3167,116.8667,-2.32,39,0,0.21,CN,1700953251
188,hadibu,12.65,54.0333,26.07,73,9,4.51,YE,1700953251
189,tamanrasset,22.785,5.5228,7.95,18,0,1.54,DZ,1700953251
190,carauari,-4.8828,-66.8958,23.27,97,93,1.13,BR,1700953252
191,tazovsky,67.4667,78.7,-20.81,87,16,4.95,RU,1700953252
192,mossel bay,-34.1831,22.146,15.56,92,39,1.6,ZA,1700953252
193,xining,36.6167,101.7667,-2.41,43,0,1.58,CN,1700953252
194,severo-yeniseyskiy,60.3725,93.0408,-29.33,100,17,1.44,RU,1700952696
195,auki,-8.7676,160.7034,27.58,76,31,1.13,SB,1700953253
196,palmas,-10.2128,-48.3603,29.93,62,20,1.54,BR,1700953253
197,amga,60.8953,131.9608,-37.19,100,100,0.68,RU,1700953253
198,belmopan,17.25,-88.7667,31.21,86,57,1.75,BZ,1700953254
199,charters towers,-20.1,146.2667,25.9,70,100,4.04,AU,1700953254
200,mayna,54.1135,47.6231,0.1,94,100,2.46,RU,1700953254
201,mount isa,-20.7333,139.5,27.87,51,95,2.06,AU,1700952705
202,el hadjira,32.6134,5.5126,15.86,24,42,0.83,DZ,1700953254
203,qaqortoq,60.7167,-46.0333,0.22,98,100,3.3,GL,1700953255
204,port macquarie,-31.4333,152.9167,27.72,60,78,1.35,AU,1700953171
205,beaudesert,-27.9833,152.9833,26.53,63,29,1.12,AU,1700953255
206,lyubokhna,53.5033,34.3885,-1.15,98,100,1.15,RU,1700953255
207,suntar,62.1444,117.6319,-30.06,99,76,2.07,RU,1700953256
208,aykhal,66.0,111.5,-19.16,97,100,3.26,RU,1700953256
209,laminusa,5.5549,120.9136,28.27,79,100,4.43,PH,1700953256
210,ugoofaaru,5.6667,73.0,28.06,74,66,2.61,MV,1700953187
211,iwanai,42.9744,140.5089,-0.28,66,100,8.13,JP,1700953257
212,bariadi,-2.8,33.9833,18.81,91,100,1.58,TZ,1700953257
213,churapcha,62.0025,132.4325,-41.37,100,98,1.13,RU,1700953257
214,namsos,64.4662,11.4957,-6.97,85,73,7.2,NO,1700953257
215,tofol,5.3248,163.0078,28.88,79,100,1.54,FM,1700953258
216,noyemberyan,41.1724,44.9992,9.02,54,100,2.16,AM,1700953258
217,east london,-33.0153,27.9116,20.25,96,100,2.98,ZA,1700953258
218,vila velha,-20.3297,-40.2925,23.97,65,75,6.69,BR,1700952702
219,mombasa,-4.0547,39.6636,23.92,96,100,2.21,KE,1700953259
220,emerald,-23.5333,148.1667,25.47,68,94,4.75,AU,1700953259
221,vorgashor,67.5833,63.95,-10.62,89,100,2.76,RU,1700953194
222,valparaiso,-33.0393,-71.6273,19.13,68,0,5.66,CL,1700953206
223,petauke,-14.2426,31.3253,21.53,71,99,0.89,ZM,1700953260
224,nikol'sk,53.7189,46.0712,-1.2,95,100,2.38,RU,1700953260
225,ust'-ilimsk,58.0006,102.6619,-22.87,99,27,1.3,RU,1700953260
226,hammerfest,70.6634,23.6821,1.25,80,100,2.57,NO,1700953190
227,enewetak,11.3474,162.3373,27.86,75,71,10.44,MH,1700953261
228,utrik,11.2278,169.8474,27.41,74,46,7.73,MH,1700953261
229,weno,7.4515,151.8468,27.55,84,100,11.59,FM,1700953262
230,whitehorse,60.7161,-135.0538,1.17,86,100,3.6,CA,1700953262
231,konstantinovka,49.6167,127.9833,-21.24,88,34,2.49,RU,1700953263
232,el matama,16.7095,33.3565,28.83,23,79,4.55,SD,1700953263
233,fort bragg,35.139,-79.006,8.79,60,0,2.57,US,1700953264
234,nogliki,51.8333,143.1667,-17.03,67,5,9.39,RU,1700953264
235,brisas de zicatela,15.8369,-97.0419,28.67,66,11,1.68,MX,1700953264
236,mezdra,43.15,23.7,-0.25,99,100,5.84,BG,1700953265
237,turpan,42.9333,89.1667,1.38,36,8,0.02,CN,1700952703
238,sopur,34.3,74.4667,7.21,29,100,0.24,IN,1700953265
239,ust-nera,64.5667,143.2,-30.26,99,98,2.62,RU,1700953266
240,vernon,50.2581,-119.2691,4.05,70,78,0.89,CA,1700953207
241,souillac,-20.5167,57.5167,23.21,88,75,1.54,MU,1700953266
242,rio tuba,8.5061,117.4317,27.83,82,100,6.0,PH,1700953266
243,la'ie,21.6477,-157.9253,28.98,72,24,1.79,US,1700953267
244,niquero,20.0431,-77.5828,25.81,77,82,1.14,CU,1700953267
245,lorengau,-2.0226,147.2712,29.12,69,45,2.06,PG,1700953267
246,riversdale,18.1659,-76.9642,28.92,94,100,0.76,JM,1700953268
247,plastun,44.7561,136.2939,-10.1,47,73,3.29,RU,1700953268
248,sao tome,0.3365,6.7273,26.81,83,60,2.94,ST,1700953268
249,nantucket,41.2835,-70.0995,-0.48,69,89,1.53,US,1700953269
250,ulaangom,49.9811,92.0667,-11.18,88,97,1.18,MN,1700953269
251,kaliganj,23.4095,89.1402,18.98,83,0,2.1,BD,1700953269
252,hasaki,35.7333,140.8333,7.94,79,100,5.68,JP,1700953270
253,dorado,18.4588,-66.2677,27.32,85,75,0.45,PR,1700953270
254,degache,33.9761,8.2081,15.18,55,20,1.54,TN,1700953270
255,saint-pierre,-21.3393,55.4781,20.82,78,20,2.06,RE,1700953271
256,cambria,35.5641,-121.0808,20.28,59,4,1.79,US,1700953271
257,sitka,57.0531,-135.33,8.94,87,100,0.0,US,1700953181
